Executing latest Jacoco+Badua (no empty probes): dataflow Coverage -> false
2020-04-13 17:31:53 DEBUG JRelifixMain$:31 - classpath: /Users/cuong/bugswarm/code/puniverse/capsule/capsule/build/classes/main_temp:/Users/cuong/bugswarm/code/puniverse/capsule/capsule/build/classes/test:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/truth-0.23.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/junit-4.12.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/tools.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/jimfs-1.0.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/joor-0.9.5.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/hamcrest-core-1.3.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs/guava-17.0.jar:/Users/cuong/bugswarm/puniverse-capsule-78565048-libs:/Users/cuong/bugswarm/code/puniverse/capsule/capsule-util/build/classes/main:/Users/cuong/bugswarm/code/puniverse/capsule/capsule-util/build/classes/test
2020-04-13 17:31:53 INFO  JRelifixMain$:33 - Parsing AST ...
2020-04-13 17:31:55 INFO  JRelifixMain$:38 - Done parsing AST!
2020-04-13 17:31:55 INFO  JRelifixMain$:40 - Building source file contents (ASTRewriter) ...
2020-04-13 17:31:55 INFO  JRelifixMain$:44 - Done building source file contents!
2020-04-13 17:31:55 INFO  JRelifixMain$:46 - Initializing Compiler/TestCases Invoker ...
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testAgents
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testApplicationArtifact
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testBootClassPath1
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testBootClassPath2
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testBootClassPathWithDeps
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testBootClassPathWithEmbeddedDeps
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testCapsuleInClassPath
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testCapsuleJavaCmd
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testCapsuleJavaHome
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testClassPath
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testDependencies1
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testEmbeddedArtifact
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testEmbeddedCaplet
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testExpandVars1
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testJVMArgs
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testLogLevel
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testMode
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testNatives1
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testNatives2
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testNativesWithDeps
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testNoExtract
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testPlatformSepcific
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testPrintCapsuleVersion
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testPrintModes
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testReallyExecutableCapsule
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testScript
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testSimpleCaplet1
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testSimpleCaplet2
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testSimpleExtract
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testSystemProperties
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testWrapperCapsule
2020-04-13 17:31:58 DEBUG TestCaseValidator:20 - Initially Reduced Tests: CapsuleTest#testWrapperCapsuleNonCapsuleApp
2020-04-13 17:31:58 INFO  JRelifixMain$:70 - Done initializing!
2020-04-13 17:31:58 INFO  JRelifixMain$:72 - Initializing Collectors...
2020-04-13 17:32:11 DEBUG DiffCollector:156 - Not found ast node for changed node: ((("Capsule manifest must specify " + Capsule.class.getName()) + " in the ") + Capsule.ATTR_PREMAIN_CLASS)
2020-04-13 17:32:11 DEBUG DiffCollector:156 - Not found ast node for changed node: (("Capsule manifest must specify " + Capsule.class.getName()) + " in the ")
2020-04-13 17:32:11 DEBUG DiffCollector:156 - Not found ast node for changed node: ("Capsule manifest must specify " + Capsule.class.getName())
